,Date,Time,Town / Village,County,Occupation of reporter (where known),Brief Description of sighting,6
0,01-Jan-02,22:30,St. Andrews,Fife,,A glowing white light that was flashing.,
1,09-Jan-02,23:30,Swansea,West Glamorgan,,"Green, circular object, that was hovering in its position.",
2,15-Jan-02,18:00,Preston,,,"White and red flashing lights, looked like they were zig-zagging, then they came to a stop. Hovered, then moved away.",
3,19-Jan-02,02:00,Urmston,Greater Manchester,,"One spherically shaped object, that was white and very bright. The object moved at speed in a straight line, then disappeared.",
4,24-Jan-02,16:12,Cromer,,,Eight to nine lights that looked like they were close and then they separated. Not too bright. Were like large fireworks.,
5,27-Jan-02,19:25,Leeds,West Yorkshire,,"Four small bright, white lights that looked like headlamps.",
6,28-Jan-02,03:00,Telford,Shropshire,,Three triangle shaped object. Looked like the Mitsubishi car sign. Middle triangle was brighter than the other two.,
7,06-Feb-02,19:05,Narborough,Leicestershire,,One globe with attachment that was white and very bright.,
8,13-Feb-02,22:19,Enfield,Middlesex,,Twenty silver balls with an orange tinge were seen flying West of Enfield Wash.,
9,14-Feb-02,21:11,Rock,Shropshire,,White lights.,
10,14-Feb-02,11:05,Corby,Northamptonshire,,"A silver object was seen, that appeared to be flying quite low. It was followed by two aeroplanes, with streams of light behind them.",
11,15-Feb-02,15:56,Richmond,,,"Very odd flashing light on a moving object, spinning above London, in the Westminster area.",
12,16-Feb-02,22:50,Walton-on-Thames,Surrey,,"One oval disc seen, with green and red flashing lights.",
13,22-Feb-02,22:30,Leven,Fife,,"One object, a white ball which flashed and became very bright.",
14,23-Feb-02,21:40,Cirencester,Gloucestershire,,"One quite bright, semi circle object seen, moving across the sky in a straight line.",
15,24-Feb-02,19:00,Newport,Gwent,,"One large and three smaller triangular objects seen, with bright red and blue flashing lights.",
16,27-Feb-02,,Harrow,Middlesex,,The witness just said it was a UFO.,
17,28-Feb-02,22:50,St. Austell,Cornwall,,Was a flying triangle - 100ft from the base of the triangle to the apex. Had red lights on the right and blue lights on the left.,
18,01-Mar-02,20:00,Lancaster,Lancashire,,Six round shimmery spheres were seen racing across the night sky.,
19,02-Mar-02,20:40,Weston-super-Mare,Somerset,,"Large, numerous lights were seen that were white and very bright. They were wheel shaped.",
20,05-Mar-02,21:50,Ripley,Derbyshire,,"Large triangle shaped object - large white light on front, on each 'tip' - a white light and in the centre, a group of four static red lights.",
21,07-Mar-02,19:45,Hornchurch,Essex,,"Two semi circular, elliptical shapes dully illuminated yellow and white. There was a faint murmur.",
22,13-Mar-02,20:05,Shotts,Strathclyde,,A saucer shaped object with a white tail. Was the brightest thing the witness had ever seen.,
23,14-Mar-02,00:30,Leicester,Leicestershire,,The object appeared larger than a star and was circular. It then turned and looked diamond shape. Had a blue light at the top.,
24,25-Mar-02,18:50,Newport-on-Tay,Fife,,One bright orange/red cigar shaped object that was seen over the sea.,
25,31-Mar-02,02:15,Scunthorpe,Humberside,,"Two lights were circling around each other. They were yellow, red, green and blue in colour.",
26,Apr-02,,Wisborough Green,Wiltshire,,"One cylindrical, upright object that was grey and had light grey stripes.",
27,07-Apr-02,21:30,Walton-on-Thames,Surrey,,One round object with red and green flashing lights. Bobbing from side to side.,
28,07-Apr-02,01:50,Scawby,Humberside,,"The witness saw a blue light, then yellow shooting stars, followed by a loud bang.",
29,08-Apr-02,22:00,Walton-on-Thames,Surrey,,One small disc shaped object with red and green flashing lights.,
30,08-Apr-02,08:35,Port Talbot,West Glamorgan,,"One large, round, very bright green object going very fast to the East.",
31,15-Apr-02,03:30,Nottingham,Nottinghamshire,,Three silver triangular objects in a triangle formation. Was closely followed by a Police helicopter.,
32,15-Apr-02,21:50,Worcester,Worcestershire,,"One big, round, bright star - object that was coloured yellow and red. Moved upwards.",
33,13-May-02,22:00,Addlestone,Surrey,,"One very big circular object, that was white and very bright.",
34,15-May-02,02:15,Uckfield,East Sussex,,One object with red and green flashing lights.,
35,27-May-02,12:45,St John's Wood,London,,"An object was seen floating up and down and the sun was shining off of it. Also, there were two black dots moving quickly.",
36,30-May-02,01:50,Dumfries,,,"One object that was white and very bright. It was moving vertical, very fast.",
37,31-May-02,03:40,Stamford,Lincolnshire,,"Object with two white lights on the front, a flashing blue light on one side and a purple one on the other.",
38,31-May-02,18:30,Woking,Surrey,,"Sausage shape object, that was twenty times larger than a normal aircraft. Had different colours.",
39,31-May-02,23:00,Harlow,Essex,,"Two very large disc type aircraft, that were white and had a dull glow.",
40,03-Jun-02,23:40,Keighley,West Yorkshire,,One large object/aircraft that had a bright white light. Was moving from West to East.,
41,04-Jun-02,03:20,Llansamlet,West Glamorgan,,"Six objects were seen omitting a bright, white light. They travelled at a slow, steady speed.",
42,10-Jun-02,01:30,Carron,Morayshire,,"One flashing object that had blue, green, yellow and red lighting.",
43,22-Jun-02,01:00,Greenford,Middlesex,,"The object was an oval shape. Was light, almost white in colour. Looked like it was rolling through the sky. It was rotating.",
44,14-Jul-02,18:15,,London,,One pin point object seen that was very bright and was metallic that was reflecting the sunlight. Left a vapour trail behind.,
45,28-Jul-02,20:55,Nr Salisbury,Wiltshire,,Saw a bright red light. It vanished after five minutes.,
46,03-Aug-02,,,,,"The witness said it looked like there were Harriers following moving lights, over the village after dusk.",
47,10-Aug-02,23:00,,,,Lights circling and then reversing direction every few minutes.,
48,12-Aug-02,22:00,Hull,East Yorkshire,,"One purple and white pulsating jelly fish like object, with smaller light circles surrounding it. A smaller hazy object was attached.",
49,13-Aug-02,00:50,Ruislip Manor,Middlesex,,"Three balls of light, stuck together. They were red, blue, yellow and white. Very still and very bright.",
50,15-Aug-02,21:55,Milton Keynes,Buckinghamshire,,Glowing orange boomerang shaped object. Was moving very fast.,
51,16-Aug-02,20:12,Brighton,East Sussex,,"Big flying object, looked like a glider, but when viewed on the camcorder, looked like a big horse tumbling around.",
52,17-Aug-02,21:45,Hull,East Yorkshire,,"Series of neon lights (between neon and gold) in two lines - objects were boomerang shaped, in a V formation.",
53,20-Aug-02,11:00,,,,"Green light coming down from the sky, had never seen anything like it before.",
