,Date,Time,Town / Village,Occupation of reporter (where known),County,Brief Description of sighting
0,04-Jan-01,03:30,Teignmouth,,Devon,"Bright, flashing lights. Moving to the South."
1,05-Jan-01,17:15,Ogwen Valley,,North West Wales,"Like a shooting star, but with a burning tail. About the size of a military aircraft. It looked like it was heading towards the ground."
2,05-Jan-01,17:30,Hunmanby,,North Yorkshire,"Twelve objects, pulsating coloured lights. The objects split and moved in different directions."
3,09-Jan-01,14:45,Humberside,,East Yorkshire,"A silver, cigar shaped object. Was moving near a military aircraft. Was stationary at first."
4,10-Jan-01,18:22,Norwich,,Norfolk,"One object that looked a bit like a star at first. It then split into about half a dozen lights, before cloud crossed over them."
5,10-Jan-01,18:30,Dundee,,Scotland,Two objects. The first was triangular in shape and had three orange lights. The second was a bright white light.
6,10-Jan-01,22:30,Chelmsford,,Essex,"650-700 objects - appearance of clusters of stars. White and very bright. Arc from horizon to horizon, East to West."
7,11-Jan-01,11:20,Swinton,,Manchester,Round silver ball. The object was moving horizontally.
8,11-Jan-01,20:29,Blackpool,,Lancashire,"White light flashing. Was a round shape. Was stationary, moved West and then disappeared."
9,12-Jan-01,21:15,Tottingham,,East Yorkshire,Seven objects flying in arrow formation. They were moving at high speed from South to North.
10,12-Jan-01,23:20,Bootle,,Merseyside,"One object, aircraft type shape. Dark red in colour, quite dim. No sound. Very high up. Moving in fast, small movements."
11,12-Jan-01,21:00,25-30 miles over Bath,RAF Pilot,Somerset,"One object, triangular in shape. Mainly stationary."
12,13-Jan-01,05:22,Farnborough,,Hampshire,Bright lights were seen in the sky. Then followed what looked like people climbing down webbing into the house.
13,13-Jan-01,19:00,Liverpool,,Merseyside,One square shaped object. Orange light in the middle. Was moving from South to the North and then to the West.
14,14-Jan-01,21:00,Tarleton,,Lancashire,A flashing red and blue pulsing light was seen. Then the object glowed orange and started to move towards the ground.
15,15-Jan-01,16:00,Reading,,Berkshire,A bright light that was changing shape and moving fast. Was white in colour. Erratic movements.
16,15-Jan-01,07:30,Kirkcaldy,,Scotland,"Single object, bright, white light that appeared to be moving North. The object went very bright like an explosion."
17,15-Jan-01,18:00,Southfields,,London,"Very large white light, which turned the sky blue."
